单词,中文翻译,记忆方法
abate,缓解，减轻，减少,a-表示否定，bat-还可以表示击打（to beat） - 不再击打
aberrant,异常的，背离常规的,ab-away，err-wander，跑偏了，反义词normal
abhor,厌恶,"horrible ab-:away, abhorrent"
abject,悲惨的，可怜的,扔在一边所以很可怜，jac=ject=throw(reject)
abjure,宣布放弃，放弃权利,abandon，ab:away，jure表示发誓 to swear，在法庭上的宣誓行动，jury 陪审团
abominate,憎恶，痛恨,ab-away+omin-omen+ate，ominous 凶兆的，不吉祥的
abstain,禁绝，禁欲，放弃（投票）from,abs-away+tain-keep(maintaion)
abstemious,人有节制地，不放荡的,联想abstem-abstain+ious，abs-away+tem--drink
abuse,谩骂，滥用，虐待,
abut,临近，毗邻,"same as about, near adjoin"
accent,口音,cant/chant=sing
acclivity,向上的陡坡,"ac-to, cliv(cliff)-bend, an ascending slope"
accompanied,伴随着,
accretion,增加,
accrue,增加，增长,ac-to，cru-create=不断创造
acerbic,酸的，尖刻的,"ic 是形容词后缀，acerb=acr=ac 表示酸（sour,acid），尖锐的（sharp）"
acme,事业的顶峰,ac-尖锐的，可以跟 acme 联动记忆，我事业顶峰，你满脸粉刺
acne,粉刺,可以跟 acme 联动记忆，我事业顶峰，你满脸粉刺
acquiesce,默许，勉强同意,"ac表示加强，逐渐平静下来，～ in sth, qui:quiet，-esce/-escent/escence 表示逐渐"
acquittal,宣判无罪,ac表示加强，当场quit->释放，退出法庭（to free and relase），acquit sb of sth 宣判某人无罪，反义词：convict
acrid,尖刻的，辛辣的,ac就是酸
acrimonious,尖酸刻薄的,
acrimony,尖刻,
acrobat,杂技演员,"acro-:high,bat=走，打"
acrobatics,杂技,
acrophobia,恐高症,-phobia 表示恐惧症
activism,行动主义,
acumen,精明，敏锐,尖尖的男人很敏锐
adapt,适应,apt来自appropriate合适的
adaptability,适应性,
adept,熟练的,-ept：expert，专家很熟练，ad表示加强
adjacent,邻近，毗邻的，接近的,同：adjoin；ad-表示加强，jac=ject=throw(reject)，-ent 表示形容词后缀，be ～ to
adjourn,延期休会，中止，推迟,-ad表示加强，journ表示day，“加强几天”，-推迟
adjure,恳求,"ad-to+jure, same as conjure"
adolescence,青春期,
adolescent,青少年,
adopt,收养采纳,来自option，adopted son 养子，adoptive mother 养母
adroit,熟练的，灵巧的（口齿）,a-表示加强，drive表示驱动，“使动起来”
adulate,奉承，谄媚,
adult,成人三部曲,
adulterate,掺杂,反：purify 提纯
adultery,通奸,男男女女掺杂在一起
adversary,敌人，对手,"ary如果是名词，则为人或者地点,adverse是敌对的"
adverse,敌对的，相反的,ad-to，vert=turn转变
adversity,不幸，逆境，adverse condition,联想 city 在城市里出现逆境
advert,注意，留意,联想：advertisement 广告
aerobatics,特技飞行,aero-表示air，在空气中飞行
aerobics,有氧运动,
aesthetic,美学的，吸引人的,
affability,亲切,
affluence,富裕，富足（rich）,flu-flow流 fluid
affront,公开侮辱，轻蔑，冒犯,front表示正面->forehead，“在你面前说你不好“
afoot,1徒步的；2在进行中的,
afresh,重新，又一次,
agile,灵敏的，敏捷,-ile如果作为形容词后缀表示易于 .... 的，如 fragile 表示易碎的，“易于行动的” -> 灵敏的
agitate,激起，煽动,it表示走，ag表示行动，“走，去行动”->煽动
agrarian,有关土地的，耕地的,agri-field，和土地有关，agriculture，农业
agronomy,农学,
aground,搁浅的,The ship went aground
akin,同族的，同源的,
alcove,凹室，壁橱，神龛,cove-cave，al-加强
alienate,疏远,远离狮子
alight,燃烧的,
allay,减轻，减少,同allevicate，al-加强，levi：上升lift/轻light，allay your fear/anxiety
alleviate,减轻,同 allay
aloof,避开的，冷淡的，孤零的,a+leave 远离，冷淡，a+v./n.=a./ad.
altercate,口角，争吵,
alternate,交替,alter-表示其他
altruism,利他主义,alter-表示other，联想：all+true+ism
altruist,利他主义者,
amalgam,混合物，汞合金,联想：两个AM合并成一个LG公司
amalgamate,混合，合并,反义词：separate
ambidextrous,双手灵巧的，双手善用的,dextr=right，右面，有两只右手，左手也和右手一样
ambience,气氛，氛围=atmosphere,ambi-接名词词尾，周围的是气氛
ambiguity,模棱两可,
ambiguous,模棱两可的,"ambi-二,gu拼音“估”，估计出来两个答案，很模棱两可的"
ambivalent,内心矛盾的，纠结的,ambi-表示二，内心两种价值，val=value价值观
ambrosia,美食,希腊神话，美食
